clear_values,masked_values
5326,5325
4312,4313
8917,8910
5725,5723
5619,5617
5505,5507
5503,5506
5723,5724
5242,5243
5623,5624
5082,5080
5107,5103
5304,5305
5330,5334
5062,5063
4324,4325
5430,5436
5603,5604
5103,5102
5272,5273
5647,5643
5425,5426
8905,8902
5420,5423
8918,8915
5034,5032
4803,4805
5236,5235
5413,5415
5504,5505
5234,5236
5722,5728
5113,5116
5607,5605
5642,5647
5000,5004
5706,5704
5624,5625
5314,5313
5023,5028
5737,5732
5742,5746
5467,5463
8966,8964
5705,5706
5040,5042
4314,4315
8964,8962
5235,5234
4313,4316
5525,5524
8965,8966
6042,6048
4814,4812
5733,5736
5436,5430
5044,5046
4322,4324
5213,5210
5620,5621
5732,5734
5042,5044
5454,5452
5244,5245
5106,5108
4805,4802
5507,5502
5037,5036
5102,5106
5726,5722
4305,4303
5643,5645
4325,4322
8919,8918
5325,5324
5444,5442
5054,5053
5605,5600
5027,5025
5452,5453
4316,4310
8916,8914
5313,5314
5724,5727
4317,4314
5043,5040
5621,5620
5426,5425
5600,5603
5079,5073
5053,5054
5628,5623
5462,5466
5057,5056
5070,5078
5080,5083
5622,5627
5245,5246
8962,8965
5604,5608
5201,5200
4303,4305
5727,5725
5022,5024
5063,5062
5303,5304
4853,4852
5644,5646
5018,5015
8956,8951
4802,4800
5073,5077
5046,5043
4800,4806
5728,5726
5625,5628
5036,5035
5442,5445
5035,5037
5210,5213
5616,5612
5423,5420
5632,5630
5734,5735
